user_id,dt,region,device,acq_channel
61542802332f,2020-05-01,North America,iPhone,GameAds
bdc7c9152b58,2020-05-01,North America,iPhone,GameAds
87f2221bc2d7,2020-05-01,Europe,iPhone,GameAds
12b7a872ca9_,2020-05-01,South America,iPhone,GameAds
-123cf4f3bc7,2020-05-01,North America,iPhone,GameAds
9a_2a52a-bf7,2020-05-01,North America,iPhone,GameAds
4746faa518a-,2020-05-01,Europe,iPhone,GameAds
_6a847b4-558,2020-05-01,CIS,iPhone,GameAds
c_64c8-0c253,2020-05-01,CN,iPhone,GameAds
026a3-bf45_f,2020-05-01,CN,iPhone,GameAds
b0-b9_c3ad39,2020-05-01,Europe,iPhone,GameAds
f80-bf-7a-b4,2020-05-01,SEA,iPhone,GameAds
_f035bc41c0c,2020-05-01,Europe,iPhone,GameAds
89441a9835b4,2020-05-01,North America,iPhone,GameAds
83_2-a943755,2020-05-01,Europe,iPhone,GameAds
b80a46_-_077,2020-05-01,CN,iPhone,GameAds
0-81f44ba06c,2020-05-01,Europe,iPhone,GameAds
d8c807bbb604,2020-05-01,North America,iPhone,GameAds
c4_8_1a68964,2020-05-01,CN,iPhone,GameAds
aaa8f299511d,2020-05-01,Europe,iPhone,GameAds
771c12b6_4_3,2020-05-01,South America,iPhone,GameAds
f8b_3cf17caf,2020-05-01,Europe,iPhone,SenseAds
1-67__c6340c,2020-05-01,North America,iPhone,GameAds
79c3f10af1d3,2020-05-01,CIS,iPhone,SenseAds
0ba88d6087b-,2020-05-01,CN,iPhone,SenseAds
1211bc14c12b,2020-05-01,Europe,iPhone,GameAds
b53c7f8_760f,2020-05-01,Africa,iPhone,GameAds
-2af49dd5183,2020-05-01,Europe,iPhone,SenseAds
-4f5316d-02-,2020-05-01,CIS,iPhone,GameAds
2b8c__0f77b8,2020-05-01,North America,iPhone,GameAds
02_d166454c-,2020-05-01,SEA,iPhone,SenseAds
dc91218201d8,2020-05-01,North America,iPhone,GameAds
6dc25332bfaa,2020-05-01,CIS,iPhone,GameAds
625b26fd-8dd,2020-05-01,North America,iPhone,GameAds
-56878_bf6_f,2020-05-01,CIS,iPhone,GameAds
cb78-cdf0a8b,2020-05-01,SEA,iPhone,GameAds
2bda1fffb6f5,2020-05-01,Australia,iPhone,GameAds
-a0_5-842c85,2020-05-01,Europe,iPhone,GameAds
2f_cf69f5c6_,2020-05-01,North America,iPhone,GameAds
-f053cddcf02,2020-05-01,Europe,iPhone,SenseAds
-f217371a9d4,2020-05-01,North America,iPhone,GameAds
d-c291_6-_6d,2020-05-01,North America,iPhone,GameAds
6b78-a506c10,2020-05-01,Africa,iPhone,GameAds
72c8264275_8,2020-05-01,CIS,iPhone,GameAds
-7d81b66012a,2020-05-01,North America,iPhone,GameAds
c8a7b992f5da,2020-05-01,South America,iPhone,SenseAds
8971f86c5888,2020-05-01,Europe,iPhone,GameAds
df78312cd6_6,2020-05-01,North America,iPhone,GameAds
2_98c5669c7-,2020-05-01,CIS,iPhone,SenseAds
08d80_b8-75-,2020-05-01,Europe,iPhone,SenseAds
65_aabf4ddb1,2020-05-01,Europe,iPhone,SenseAds
31-6c5b27d50,2020-05-01,SEA,iPhone,GameAds
08d02-221381,2020-05-01,CIS,iPhone,SenseAds
2c6b491-963f,2020-05-01,North America,iPhone,SenseAds
b8-2241b02f0,2020-05-01,Europe,iPhone,GameAds
64d6d7-b0aaf,2020-05-01,Europe,iPhone,GameAds
43526a0bd6-7,2020-05-01,North America,iPhone,GameAds
c5f9b7b6a46-,2020-05-01,Europe,iPhone,GameAds
02576740107c,2020-05-01,North America,iPhone,GameAds
d3430a-6d52c,2020-05-01,North America,iPhone,GameAds
--2f602fc4_4,2020-05-01,CIS,iPhone,SenseAds
16c77436b1_0,2020-05-01,Africa,iPhone,GameAds
27_bc6fc3_03,2020-05-01,SEA,iPhone,GameAds
fb4__4af-5-b,2020-05-01,CIS,iPhone,GameAds
3f0bcb4f91--,2020-05-01,North America,iPhone,SenseAds
cf7-3-_cca4a,2020-05-01,North America,iPhone,GameAds
4-2d09070222,2020-05-01,North America,iPhone,GameAds
7_7_4697-6bb,2020-05-01,North America,iPhone,GameAds
d2_6--50628b,2020-05-01,North America,iPhone,GameAds
8_71300026c1,2020-05-01,North America,iPhone,GameAds
28a_5908-4c2,2020-05-01,Europe,iPhone,GameAds
03309fac9d9b,2020-05-01,CN,iPhone,GameAds
31_77-4-5db7,2020-05-01,CIS,iPhone,GameAds
282f77-f627c,2020-05-01,North America,iPhone,GameAds
b431a0-ffa93,2020-05-01,CIS,iPhone,GameAds
4dbc_7205336,2020-05-01,CIS,iPhone,GameAds
95b4a_f_37_a,2020-05-01,North America,iPhone,GameAds
-2_4df8_c-8-,2020-05-01,North America,iPhone,GameAds
11323bd024d6,2020-05-01,CN,iPhone,GameAds
78bd045cba5-,2020-05-01,South America,iPhone,GameAds
443b6_1-4bd2,2020-05-01,North America,iPhone,SenseAds
259b890_f9f7,2020-05-01,CIS,iPhone,GameAds
c61a192dbfbb,2020-05-01,Europe,iPhone,GameAds
6-_8c_-_9b8c,2020-05-01,North America,iPhone,SenseAds
ab494-57-320,2020-05-01,CN,iPhone,GameAds
01a65d0-4afa,2020-05-01,CN,iPhone,GameAds
9c67b6f58-33,2020-05-01,North America,iPhone,GameAds
b9f7c9_9b78f,2020-05-01,North America,iPhone,SenseAds
_cdd6-_5_2_6,2020-05-01,North America,iPhone,GameAds
1d73d1-4c2b_,2020-05-01,South America,iPhone,GameAds
043d33762a-a,2020-05-01,Africa,iPhone,GameAds
287_c5bf2-7f,2020-05-01,Africa,iPhone,GameAds
003749885cad,2020-05-01,CIS,iPhone,GameAds
c1f7137_16c0,2020-05-01,Australia,iPhone,GameAds
3c0-d225b_5f,2020-05-01,North America,iPhone,SenseAds
95_967d9-cd5,2020-05-01,North America,iPhone,GameAds
4469048f7-_0,2020-05-01,North America,iPhone,GameAds
84f58d47602b,2020-05-01,North America,iPhone,SenseAds
67b8c81_1_1a,2020-05-01,North America,iPhone,GameAds
d51c_c2_92b7,2020-05-01,CN,iPhone,GameAds
40c7830c0c42,2020-05-01,North America,iPhone,GameAds
38f8393fa21b,2020-05-01,SEA,iPhone,GameAds
f603670364_9,2020-05-01,Europe,iPhone,GameAds
6_c6c8887cc6,2020-05-01,CN,iPhone,GameAds
5417-90d9622,2020-05-01,South America,iPhone,GameAds
a5d-3912cfc7,2020-05-01,Europe,iPhone,GameAds
55_c04-123f5,2020-05-01,CIS,iPhone,GameAds
a95675a003_4,2020-05-01,CIS,iPhone,GameAds
-7_9fdd-56f7,2020-05-01,North America,iPhone,GameAds
77cc8b2cbc29,2020-05-01,North America,iPhone,GameAds
-59d74-1faba,2020-05-01,North America,iPhone,GameAds
a6_df8dc7557,2020-05-01,CN,iPhone,GameAds
347d79b-51d_,2020-05-01,North America,iPhone,GameAds
a0dda50-1f_-,2020-05-01,Europe,iPhone,GameAds
60c0b3f97609,2020-05-01,North America,iPhone,GameAds
64a325-cf-26,2020-05-01,Europe,iPhone,GameAds
c1dd__29a558,2020-05-01,North America,iPhone,GameAds
f_c0_a-_f92b,2020-05-01,CIS,iPhone,GameAds
3-644d551069,2020-05-01,Australia,iPhone,GameAds
1_f_-384b317,2020-05-01,North America,iPhone,SenseAds
4a9095_c2_61,2020-05-01,North America,iPhone,SenseAds
2f44b449-a3b,2020-05-01,Australia,iPhone,GameAds
95-475_77d73,2020-05-01,Europe,iPhone,GameAds
d476d6dbd3c7,2020-05-01,SEA,iPhone,SenseAds
51c_6f63acf3,2020-05-01,Europe,iPhone,SenseAds
22f3-4003-a4,2020-05-01,North America,iPhone,GameAds
62f313324275,2020-05-01,Europe,iPhone,GameAds
8c3736199-1c,2020-05-01,North America,iPhone,GameAds
b3_b6342978c,2020-05-01,SEA,iPhone,GameAds
ac7_84-04d7_,2020-05-01,Europe,iPhone,GameAds
_f59c4670_8f,2020-05-01,North America,iPhone,GameAds
1a91cdc69339,2020-05-01,North America,iPhone,GameAds
c8fb4bc4b-39,2020-05-01,North America,iPhone,SenseAds
081356dcb9df,2020-05-01,CIS,iPhone,GameAds
5030_533-393,2020-05-01,South America,iPhone,GameAds
-74fb-99b801,2020-05-01,North America,iPhone,GameAds
77a2-7d5c76d,2020-05-01,Europe,iPhone,GameAds
44286617-2-4,2020-05-01,South America,iPhone,GameAds
2-92afb7-1c8,2020-05-01,Europe,iPhone,GameAds
a9b785343da3,2020-05-01,CIS,iPhone,GameAds
-a653c6df372,2020-05-01,North America,iPhone,GameAds
97dfbc5_-0c4,2020-05-01,SEA,iPhone,GameAds
8198975f9fc0,2020-05-01,Europe,iPhone,GameAds
1a8bc-857d53,2020-05-01,North America,iPhone,SenseAds
966f810285_2,2020-05-01,SEA,iPhone,GameAds
347_555a21_5,2020-05-01,CIS,iPhone,GameAds
a6_22a2b3d5_,2020-05-01,North America,iPhone,SenseAds
ff_20090915-,2020-05-01,Australia,iPhone,GameAds
2b-7222--0b3,2020-05-01,North America,iPhone,GameAds
2384_68dc770,2020-05-01,Europe,iPhone,GameAds
9a8-48088a26,2020-05-01,Europe,iPhone,GameAds
_1c6c1889af5,2020-05-01,CIS,iPhone,GameAds
c_b9bd-_d64b,2020-05-01,Europe,iPhone,GameAds
1_1cd73067c3,2020-05-01,Europe,iPhone,GameAds
a6_0_c29ad3b,2020-05-01,North America,iPhone,GameAds
122062791b01,2020-05-01,CIS,iPhone,GameAds
-_a152723_93,2020-05-01,SEA,iPhone,SenseAds
-2f6c_f1c_80,2020-05-01,North America,iPhone,GameAds
51cac649d0f1,2020-05-01,Europe,iPhone,GameAds
6c34b0_-afcc,2020-05-01,CN,iPhone,SenseAds
4c476634-0_7,2020-05-01,CN,iPhone,SenseAds
819ac2aa336d,2020-05-01,Europe,iPhone,GameAds
c7-_0711688-,2020-05-01,Europe,iPhone,GameAds
00a7d-834147,2020-05-01,SEA,iPhone,GameAds
23b1-bab162b,2020-05-01,North America,iPhone,GameAds
3a_1c004f4_3,2020-05-01,Africa,iPhone,GameAds
7a8-3436571a,2020-05-01,North America,iPhone,GameAds
3d76311a_2c-,2020-05-01,CIS,iPhone,SenseAds
94bd71c125ac,2020-05-01,North America,iPhone,GameAds
6b6bf9910369,2020-05-01,South America,iPhone,GameAds
c_3_1_58bf45,2020-05-01,South America,iPhone,GameAds
d96_-9-8-3a9,2020-05-01,SEA,iPhone,GameAds
106719-b2a16,2020-05-01,North America,iPhone,GameAds
_813--24fa79,2020-05-01,Europe,iPhone,GameAds
ab4d76--b543,2020-05-01,Europe,iPhone,GameAds
b-bdcc057500,2020-05-01,North America,iPhone,GameAds
838744f76304,2020-05-01,North America,iPhone,GameAds
db50f87_85fa,2020-05-01,South America,iPhone,GameAds
d9_3c917313f,2020-05-01,CIS,iPhone,GameAds
cff--a64b8-c,2020-05-01,CIS,iPhone,GameAds
3b00cba14faf,2020-05-01,Africa,iPhone,GameAds
61633b46_6d_,2020-05-01,Europe,iPhone,SenseAds
2a8716594_35,2020-05-01,CIS,iPhone,GameAds
4596796f91fd,2020-05-01,North America,iPhone,SenseAds
a656d11_13b7,2020-05-01,Europe,iPhone,GameAds
f2fb4bc-35af,2020-05-01,Europe,iPhone,GameAds
19-_260af-ca,2020-05-01,North America,iPhone,GameAds
85b5b4__2b04,2020-05-01,Europe,iPhone,GameAds
72_5b009_625,2020-05-01,North America,iPhone,GameAds
781a48db6c5-,2020-05-01,North America,iPhone,GameAds
bcf-1459_bc4,2020-05-01,North America,iPhone,GameAds
-4fdb797ba85,2020-05-01,Europe,iPhone,GameAds
4-41792a3dd4,2020-05-01,North America,iPhone,GameAds
c7378_c50cb7,2020-05-01,North America,iPhone,GameAds
135d486b1fb8,2020-05-01,CIS,iPhone,GameAds
4d6869-5bc34,2020-05-01,North America,iPhone,GameAds
5bcd912dc89b,2020-05-01,Africa,iPhone,GameAds
cf_79a4a12df,2020-05-01,CIS,iPhone,GameAds
93_d552921dc,2020-05-01,North America,iPhone,GameAds
87944-b_5bdb,2020-05-01,Europe,iPhone,GameAds
-484cd43c8cd,2020-05-01,North America,iPhone,GameAds
04fd5-d7-b-c,2020-05-01,Africa,iPhone,GameAds
2b22907cd6fa,2020-05-01,Europe,iPhone,GameAds
-4b-cb-30d02,2020-05-01,Africa,iPhone,SenseAds
a-b-01a5d1d7,2020-05-01,CN,iPhone,GameAds
2010cf75_270,2020-05-01,Australia,iPhone,GameAds
1d209-a562cc,2020-05-01,North America,iPhone,GameAds
a466ba08-30_,2020-05-01,Europe,iPhone,GameAds
99b9d54079bb,2020-05-01,CIS,iPhone,GameAds
b90933bd_cc0,2020-05-01,SEA,iPhone,GameAds
a2f10a085fc_,2020-05-01,Europe,iPhone,GameAds
a7a780c9_86f,2020-05-01,North America,iPhone,GameAds
8-b185a213a5,2020-05-01,Australia,iPhone,GameAds
18b-00d37962,2020-05-01,North America,iPhone,SenseAds
a-dd16-a6c1a,2020-05-01,CN,iPhone,GameAds
0_394cac_baf,2020-05-01,Europe,iPhone,GameAds
661574-dbb69,2020-05-01,Europe,iPhone,GameAds
ca-9-8828251,2020-05-01,North America,iPhone,GameAds
49299b861998,2020-05-01,North America,iPhone,GameAds
cd3a_15_79fd,2020-05-01,North America,iPhone,GameAds
4fb973332c9b,2020-05-01,CN,iPhone,GameAds
c9f3d009bd_3,2020-05-01,North America,iPhone,SenseAds
294918_2f36-,2020-05-01,Europe,iPhone,GameAds
9c09bb54d-19,2020-05-01,Europe,iPhone,GameAds
a228875_8_9a,2020-05-01,North America,iPhone,GameAds
1-00c306c_08,2020-05-01,North America,iPhone,SenseAds
3b0-80fb-a9c,2020-05-01,Australia,iPhone,GameAds
d667438c6-f0,2020-05-01,South America,iPhone,GameAds
f_03d060dc86,2020-05-01,North America,iPhone,GameAds
528c_80a0ddb,2020-05-01,Africa,iPhone,GameAds
56a759193da3,2020-05-01,South America,iPhone,GameAds
57fd0_492397,2020-05-01,CIS,iPhone,GameAds
7089ab9-59f9,2020-05-02,Europe,iPhone,GameAds
__3c6c_2320c,2020-05-02,Europe,iPhone,GameAds
c_7f7-c8_2_1,2020-05-02,North America,iPhone,GameAds
d68dca024f50,2020-05-02,Europe,iPhone,SenseAds
01b3-4-5a1b3,2020-05-02,CN,iPhone,GameAds
36-143-6413_,2020-05-02,Europe,iPhone,GameAds
_615239cd936,2020-05-02,CIS,iPhone,GameAds
4a__65_c_644,2020-05-02,Europe,iPhone,GameAds
c2-c_077-274,2020-05-02,North America,iPhone,GameAds
b009188f-_7b,2020-05-02,CIS,iPhone,GameAds
375491ca224_,2020-05-02,Europe,iPhone,GameAds
b-f226-10-b4,2020-05-02,CIS,iPhone,SenseAds
bc75d_0c9d-5,2020-05-02,Europe,iPhone,GameAds
c1a-2-f45fb0,2020-05-02,North America,iPhone,GameAds
985fc662282b,2020-05-02,CN,iPhone,SenseAds
21c445--b139,2020-05-02,North America,iPhone,GameAds
d33d5b32729d,2020-05-02,North America,iPhone,GameAds
8208c2db7d6_,2020-05-02,North America,iPhone,GameAds
12437-37-_55,2020-05-02,Australia,iPhone,GameAds
_7db30fbf0-a,2020-05-02,Europe,iPhone,GameAds
08f4fbc90ddd,2020-05-02,Africa,iPhone,GameAds
bf35b_182f22,2020-05-02,North America,iPhone,GameAds
54bd-19d79--,2020-05-02,North America,iPhone,GameAds
1bc0a-d7dc97,2020-05-02,North America,iPhone,GameAds
66571bd5ac5d,2020-05-02,South America,iPhone,GameAds
-8-48cd-45ca,2020-05-02,Europe,iPhone,GameAds
a0770935b33a,2020-05-02,SEA,iPhone,GameAds
c163b12a_-42,2020-05-02,Europe,iPhone,GameAds
20f698fff7f1,2020-05-02,CIS,iPhone,GameAds
4_-da0f41484,2020-05-02,Europe,iPhone,GameAds
4b2831d-340b,2020-05-02,Europe,iPhone,SenseAds
dc3-55dd54_c,2020-05-02,North America,iPhone,GameAds
5d7-f1676076,2020-05-02,North America,iPhone,GameAds
9-7f5f177-4_,2020-05-02,North America,iPhone,GameAds
97_3755a2789,2020-05-02,Europe,iPhone,GameAds
50a4072ffc3c,2020-05-02,South America,iPhone,GameAds
df10ff69b951,2020-05-02,South America,iPhone,GameAds
2b-7b661bd76,2020-05-02,North America,iPhone,GameAds
aad_951639f5,2020-05-02,CIS,iPhone,GameAds
fb_c7a_77f-8,2020-05-02,CIS,iPhone,GameAds
_a2-bab83140,2020-05-02,North America,iPhone,SenseAds
1c974bb4f9_4,2020-05-02,North America,iPhone,GameAds
23718c90b_7c,2020-05-02,CIS,iPhone,GameAds
396f549b9-22,2020-05-02,North America,iPhone,GameAds
44-_0460_a84,2020-05-02,North America,iPhone,SenseAds
_b_-660c709_,2020-05-02,CIS,iPhone,GameAds
600b65a86a3c,2020-05-02,North America,iPhone,SenseAds
495a190b-f-c,2020-05-02,North America,iPhone,GameAds
_-db60d7f97c,2020-05-02,CIS,iPhone,GameAds
82-1_a8395a7,2020-05-02,North America,iPhone,GameAds
13b1b13d4b5f,2020-05-02,Europe,iPhone,GameAds
9f5c_ccd_575,2020-05-02,North America,iPhone,GameAds
-3_c6c7c1b94,2020-05-02,Australia,iPhone,GameAds
52b3869_c8a_,2020-05-02,North America,iPhone,SenseAds
3c7224_46_6-,2020-05-02,CIS,iPhone,GameAds
-2-6a08d-2a4,2020-05-02,Europe,iPhone,GameAds
96464a0c2bb0,2020-05-02,Africa,iPhone,SenseAds
ff420addb047,2020-05-02,North America,iPhone,GameAds
9328548c10f7,2020-05-02,Europe,iPhone,GameAds
179-c-2-1766,2020-05-02,Europe,iPhone,GameAds
aa75a7f348c8,2020-05-02,Europe,iPhone,GameAds
4_3341397-31,2020-05-02,CN,iPhone,GameAds
2207032c1b_b,2020-05-02,North America,iPhone,GameAds
559_c58070d_,2020-05-02,CIS,iPhone,GameAds
3456c0558ca7,2020-05-02,CIS,iPhone,GameAds
b8266-7251d5,2020-05-02,Europe,iPhone,GameAds
52_4180ba4c3,2020-05-02,North America,iPhone,GameAds
1-81a7-47d6-,2020-05-02,North America,iPhone,GameAds
1adb00f8161_,2020-05-02,CN,iPhone,SenseAds
3c223b6bd5c3,2020-05-02,North America,iPhone,GameAds
-cf57f07f425,2020-05-02,North America,iPhone,GameAds
c0d5fa4_8013,2020-05-02,SEA,iPhone,GameAds
13d13faf6906,2020-05-02,Europe,iPhone,GameAds
448da1faaa8c,2020-05-02,CIS,iPhone,GameAds
a-82cf5-5d3b,2020-05-02,Europe,iPhone,GameAds
6b0985dd7862,2020-05-02,Europe,iPhone,GameAds
f_c8_f5f-80d,2020-05-02,CIS,iPhone,GameAds
8bc96b3-3c07,2020-05-02,North America,iPhone,GameAds
8885a_01989a,2020-05-02,Europe,iPhone,SenseAds
1188a57f7f22,2020-05-02,North America,iPhone,GameAds
334162cf756_,2020-05-02,Europe,iPhone,SenseAds
14cb-f9_509-,2020-05-02,SEA,iPhone,SenseAds
a480c4c439b1,2020-05-02,North America,iPhone,GameAds
4780_a204825,2020-05-02,Europe,iPhone,GameAds
a_898-6097df,2020-05-02,Europe,iPhone,SenseAds
83c_5cc3_1-8,2020-05-02,South America,iPhone,GameAds
c7_9280_3f18,2020-05-02,Europe,iPhone,GameAds
-4ad77df-a0a,2020-05-02,CN,iPhone,GameAds
ba942_7-751b,2020-05-02,North America,iPhone,GameAds
_36a0_3a82a4,2020-05-02,Europe,iPhone,GameAds
52685476b941,2020-05-02,North America,iPhone,SenseAds
36_-48b3b6-d,2020-05-02,Europe,iPhone,GameAds
7b_d83-cf-5-,2020-05-02,Africa,iPhone,GameAds
d4df7d0bd964,2020-05-02,Europe,iPhone,GameAds
829a16631826,2020-05-02,SEA,iPhone,GameAds
7d7c-1643164,2020-05-02,Europe,iPhone,GameAds
48171b376-3-,2020-05-02,South America,iPhone,GameAds
-093bc15f38_,2020-05-02,SEA,iPhone,GameAds
2_9d3b5c9_d8,2020-05-02,North America,iPhone,SenseAds
b1207_d0-1cd,2020-05-02,Europe,iPhone,GameAds
d1c6a15570bd,2020-05-02,Australia,iPhone,SenseAds
1-6da53b9b33,2020-05-02,Africa,iPhone,GameAds
88_1_84_d1f3,2020-05-02,Europe,iPhone,GameAds
4cf474923f7a,2020-05-02,Europe,iPhone,GameAds
1d286347f889,2020-05-02,Australia,iPhone,GameAds
4c5a3-9d7759,2020-05-02,Australia,iPhone,GameAds
1a_9b23-7f5a,2020-05-02,North America,iPhone,GameAds
1912d52f42fd,2020-05-02,Europe,iPhone,GameAds
7d68_fdbccb0,2020-05-02,CN,iPhone,SenseAds
d0_d8d36c436,2020-05-02,North America,iPhone,SenseAds
33-fc55f9b21,2020-05-02,North America,iPhone,GameAds
95bdc_d8d67_,2020-05-02,Europe,iPhone,SenseAds
5_05-3dcf2b4,2020-05-02,Europe,iPhone,GameAds
241c170d3_4f,2020-05-02,North America,iPhone,GameAds
6208df391413,2020-05-02,South America,iPhone,GameAds
6baf14--f406,2020-05-02,North America,iPhone,GameAds
b4d1c03f64aa,2020-05-02,CIS,iPhone,GameAds
224a3887a6a1,2020-05-02,North America,iPhone,GameAds
5_a0-_39b30d,2020-05-02,SEA,iPhone,GameAds
1-02cca3df5a,2020-05-02,North America,iPhone,GameAds
457-840_6cd8,2020-05-02,CIS,iPhone,GameAds
6_9-314d704b,2020-05-02,SEA,iPhone,SenseAds
d-cdb2a502ad,2020-05-02,North America,iPhone,GameAds
f-95af9-4f2f,2020-05-02,Europe,iPhone,GameAds
9a-b3_1_a543,2020-05-02,CIS,iPhone,GameAds
821710-d2ab5,2020-05-02,North America,iPhone,GameAds
ba1d64d8193d,2020-05-02,Europe,iPhone,GameAds
-ab2c6098dc1,2020-05-02,Europe,iPhone,SenseAds
84ad696_ad75,2020-05-02,SEA,iPhone,GameAds
_c_f3_cbf_7b,2020-05-02,CN,iPhone,GameAds
b5-f7-4552f8,2020-05-02,North America,iPhone,SenseAds
8-150f58ab67,2020-05-02,North America,iPhone,GameAds
_--_44d70399,2020-05-02,North America,iPhone,GameAds
c5c5004db0_1,2020-05-02,CIS,iPhone,GameAds
dd32--14fa9d,2020-05-02,Europe,iPhone,GameAds
53559d22c489,2020-05-02,CN,iPhone,GameAds
-91b95-_a53a,2020-05-02,North America,iPhone,GameAds
8075b47f--9_,2020-05-02,North America,iPhone,GameAds
a31828_7550b,2020-05-02,Europe,iPhone,GameAds
919727caf95a,2020-05-02,SEA,iPhone,SenseAds
c98437d05748,2020-05-02,SEA,iPhone,GameAds
268fb_-d638c,2020-05-02,North America,iPhone,GameAds
af0dfd02b7a_,2020-05-02,South America,iPhone,GameAds
2_186_438524,2020-05-02,Europe,iPhone,SenseAds
382f_6_41-2d,2020-05-02,Europe,iPhone,GameAds
0fdb9f893243,2020-05-02,SEA,iPhone,GameAds
71572_42_57b,2020-05-02,Africa,iPhone,GameAds
22911f279fc8,2020-05-02,Australia,iPhone,GameAds
24303c826_4_,2020-05-02,Europe,iPhone,GameAds
0-b016b4f295,2020-05-02,North America,iPhone,GameAds
_2a3-_16505f,2020-05-02,CIS,iPhone,GameAds
8cd51771d5c6,2020-05-02,SEA,iPhone,GameAds
_4c2a--243a3,2020-05-02,Australia,iPhone,GameAds
28_a_c33-d94,2020-05-02,Europe,iPhone,GameAds
090-18-09b74,2020-05-02,Europe,iPhone,GameAds
41d8-56cf530,2020-05-02,Europe,iPhone,GameAds
3c4d26_4a364,2020-05-02,CN,iPhone,SenseAds
c77c12-07_96,2020-05-02,North America,iPhone,GameAds
fd8__237db09,2020-05-02,Europe,iPhone,GameAds
509c97f-8f56,2020-05-02,South America,iPhone,GameAds
80140d861493,2020-05-02,North America,iPhone,SenseAds
845f0b39811-,2020-05-02,North America,iPhone,GameAds
75239f4a20__,2020-05-02,North America,iPhone,GameAds
cc1ca5-b4693,2020-05-02,Australia,iPhone,GameAds
5cb153-_1069,2020-05-02,North America,iPhone,GameAds
03965bc-f684,2020-05-02,North America,iPhone,SenseAds
421f-dd3d818,2020-05-02,SEA,iPhone,GameAds
4158f-f525ad,2020-05-02,North America,iPhone,GameAds
5_4a-f3fb269,2020-05-02,North America,iPhone,GameAds
7725-3672d4c,2020-05-02,North America,iPhone,GameAds
13146d0-_3_f,2020-05-02,North America,iPhone,GameAds
-0d4b6_d4a94,2020-05-02,Europe,iPhone,GameAds
76-33c5d8678,2020-05-02,North America,iPhone,GameAds
114f49786-2d,2020-05-02,CN,iPhone,GameAds
5-40742b218-,2020-05-02,North America,iPhone,SenseAds
a017fb639514,2020-05-02,North America,iPhone,GameAds
cb_38828755c,2020-05-02,Europe,iPhone,GameAds
bff9c5d44a5f,2020-05-02,CIS,iPhone,GameAds
79f500b6bdcf,2020-05-02,CIS,iPhone,GameAds
31545dc0a606,2020-05-02,North America,iPhone,GameAds
5f0b3-c0b553,2020-05-02,CIS,iPhone,SenseAds
bca6f89aad66,2020-05-02,Europe,iPhone,SenseAds
_959_888ab93,2020-05-02,CIS,iPhone,GameAds
f1d-8f0-6802,2020-05-02,CN,iPhone,GameAds
d0c_97427f2b,2020-05-02,SEA,iPhone,GameAds
69a_45_-109c,2020-05-02,North America,iPhone,GameAds
65bcadb01794,2020-05-02,North America,iPhone,SenseAds
57ca387-5186,2020-05-02,Europe,iPhone,GameAds
